Chinese Term,Standard English Term,CUI,SAB
结膜炎,Conjunctivitis,C0009763,MDR
口腔疱疹,Oral herpes,C0341012,MDR
嗜酸性粒细胞增多,Eosinophilia,C0014457,MDR
血管性水肿,Angioedema,C0002994,MDR
速发过敏反应,Anaphylactic reaction,C0002792,MDR
血清病反应,Serum sickness,C0036830,MDR
血清病样反应,Serum sickness-like reaction,C0221742,MDR
过敏性结膜炎,Allergic conjunctivitis,C0009766,MDR
角膜炎,Keratitis,C0022568,MDR
睑缘炎,Blepharitis,C0005741,MDR
眼部瘙痒,Eye pruritus,C0022281,MDR
干眼,Dry eye,C0314719,MDR
溃疡性角膜炎,Corneal ulcer,C0010043,MDR
面部皮疹,Rash,C5779628,MDR
关节痛,Arthralgia,C0003862,MDR
注射部位红斑,Injection site erythema,C0581287,MDR
注射部位水肿,Injection site oedema,C0151605,MDR
注射部位瘙痒,Injection site pruritus,C0852995,MDR
注射部位疼痛,Injection site pain,C0151828,MDR
注射部位肿胀,Injection site swelling,C0581289,MDR
注射部位淤青,Injection site bruising,C0521508,MDR
注射部位硬化,Injection site induration,C0521509,MDR
注射部位皮疹,Injection site rash,C0521505,MDR
注射部位皮炎,Injection site dermatitis,C0521505,MDR
疱疹性湿疹,Eczema herpeticum,C0936250,MDR
头痛,Headache,C0018681,MDR
超敏反应,Hypersensitivity,C0020517,MDR
嗜酸性肉芽肿性多血管炎,Eosinophilic granulomatosis with polyangiitis,C0008728,MDR
EGPA,Eosinophilic granulomatosis with polyangiitis,C0008728,MDR
嗜酸性粒细胞性肺炎,Eosinophilic pneumonia,C1527407,MDR
血管炎,Vasculitis,C0042384,MDR
血管炎性皮疹,Vasculitic rash,C0521161,MDR
视物模糊,Vision blurred,C0344232,MDR
蛲虫病,Enterobiasis,C0086227,MDR
心血管死亡,Cardiac death,C0376297,MDR
非致死性心肌梗死,Myocardial infarction,C0027051,MDR
非致死性卒中,Cerebrovascular accident,C0038454,MDR
糖皮质激素戒断症状,Drug withdrawal syndrome,C0152128,MDR
